BRIN,vestigingsnaam,gemeente,postcode,type,X_linear,Y_linear,X_log,Y_log,pupils_total
00DO00,Van Rijckevorsel,Rotterdam,3151CJ,Bo,15.5,328.48,0.0626,0.6319,87
00DW00,De Trompetter,Zevenaar,6986AT,Bo,35.26,357.57,0.1312,0.6605,126
00DX00,Vrije School Assen,Assen,9404KK,Bo,30.25,226.38,0.1148,0.5137,118
00DY00,Basisschool het Sterrenlicht,Elburg,8084GK,Bo,15.28,313.95,0.0617,0.617,106
00DZ00,Agnietenschool,Elburg,8081NB,Bo,45.46,303.05,0.1627,0.6054,162
00EB00,Bs Het Telraam,Boxmeer,5441AK,Bo,22.11,341.38,0.0867,0.6448,125
00EH00,Geref SSBO De Cirkel,Capelle aan den IJssel,2907TK,Sbo,1.18,259.48,0.0051,0.5557,71
00EI00,Reform Basisschool,Hoeksche Waard,3286BC,Bo,14.15,323.19,0.0575,0.6265,115
00EM00,SSBO De Wijngaard,Barendrecht,2992KK,Sbo,1.95,371.24,0.0084,0.6732,169
00FE00,Geref Basissch De Halm,Altena,4286BV,Bo,34.04,359.86,0.1272,0.6626,66
00FG00,BS De Triangel,Hengelo,7557KJ,Bo,26.62,216.1,0.1025,0.4998,64
00FI00,Samenw Basisschool Pork,Westerwolde,9561CB,Bo,16.37,222.33,0.0659,0.5083,143
00FQ00,Montessori BS De Kraal,Tholen,4691HT,Bo,28.88,265.9,0.1102,0.5634,57
00GQ00,Rehoboth Basisschool,Alphen aan den Rijn,2404GM,Bo,23.23,248.81,0.0907,0.5426,83
00GR00,Kristal,Heerde,8181VZ,Bo,26.28,369.86,0.1013,0.672,92
00GV00,Basisschool Maria-School,Tubbergen,7661RA,Bo,26.56,383.19,0.1023,0.6841,95
00GX00,RK BS St Jacobus,Overbetuwe,6675BB,Bo,24.69,362.33,0.0958,0.665,77
00HA00,Ref Basissch Augustinus,Ermelo,3851BH,Bo,24.12,381.95,0.0938,0.683,166
00HH00,OBS De Vliete,Noord-Beveland,4491GB,Bo,22.74,227.52,0.089,0.5152,76
00HZ00,Klavertje 4,Oudewater,3421XL,Bo,22.71,360.86,0.0889,0.6636,157
00IF00,RK BS Heilig Hart,Tubbergen,7666LH,Bo,18.77,410.22,0.0747,0.7078,59
00IH00,De Horizon,Arnhem,6835HZ,Sbo,0.2,248.24,0.0009,0.5419,178
00IJ00,PC BS De Schaapskooi,Hellendoorn,7443HC,Bo,17.02,325.67,0.0683,0.6291,132
00IM00,Joos v Larensch,Middelburg,4341ER,Bo,20.02,254.43,0.0793,0.5495,98
00JH00,SSBO De Kameleon,Hoogeveen,7901GK,Sbo,0.0,213.67,0.0,0.4965,66
00JL00,SSBO Kingma,Amersfoort,3817GA,Sbo,0.0,382.0,0.0,0.683,32
00JY00,SSBO Kompas,Den Helder,1784MC,Sbo,1.73,177.9,0.0074,0.4439,214
00KU00,SBO de Windroos,Nijmegen,6545LX,Sbo,0.28,263.38,0.0012,0.5604,203
00KZ00,SSBO Het Zilverlicht,Waalwijk,5143GH,Sbo,0.0,333.29,0.0,0.6368,188
00LS00,SBO Het Palet,Weert,6006AH,Sbo,0.0,293.29,0.0,0.5947,138
00MI00,SSBO De Piramide,Bladel,5531BX,Sbo,0.25,357.52,0.0011,0.6604,173
00MN00,Chr SSBO De Burcht,Ridderkerk,2983AK,Sbo,0.0,312.81,0.0,0.6157,134
00MS00,SSBO Prof Waterink,Hardenberg,7772CX,Sbo,0.95,245.0,0.0041,0.5378,171
00MY00,SSBO De Springplank,Terneuzen,4532BX,Sbo,1.85,208.48,0.008,0.4892,160
00NY00,SSBO De Veste,Tholen,4691CK,Sbo,3.17,265.9,0.0136,0.5634,55
00RU00,SSBO De Wissel,Hoorn,1623MA,Sbo,2.56,306.0,0.011,0.6085,43
00RX00,SBO Arcadia,Kerkrade,6466HX,Sbo,0.0,183.33,0.0,0.4523,142
00SQ00,SSBO Focus,Venray,5801AP,Sbo,0.0,269.38,0.0,0.5675,101
00TN00,SSBO Op de Tump,Maasgouw,6097AH,Sbo,0.0,319.52,0.0,0.6228,166
00UE00,SBO De Steenen Kamer,Zwijndrecht,3332KP,Sbo,0.17,281.95,0.0007,0.582,199
00UI00,SSBO St Michael,Amersfoort,3814RV,Sbo,0.0,303.81,0.0,0.6062,195
00UN00,Tijstroom,Zaanstad,1503TS,Sbo,0.0,290.71,0.0,0.5919,135
00UY00,SBO Beatrix de Burcht,Gorinchem,4205NK,Sbo,0.0,261.52,0.0,0.5581,137
00VD00,RK SSBO Het Kompas,Etten-Leur,4876XB,Sbo,0.0,315.95,0.0,0.619,230
00VW00,De Kameleon,Papendrecht,3351ED,Sbo,0.0,291.67,0.0,0.5929,181
00WK00,SSBO De Wingerd,Cuijk,5431LZ,Sbo,0.34,252.9,0.0015,0.5477,138
00WO00,SBO,'s-Gravenhage,2566EA,Sbo,4.62,680.24,0.0196,0.8922,98
00YG00,SBO De Twister,Horst aan de Maas,5961BA,Sbo,0.0,296.86,0.0,0.5986,106
00ZR00,SSBO De Schilderspoort,Zevenaar,6903PZ,Sbo,0.0,260.76,0.0,0.5572,268
00ZS00,SSBO Elim,Rijssen-Holten,7462TK,Sbo,0.11,289.81,0.0005,0.5909,114
01AC00,SSBO De Driemaster,Dronten,8251GP,Sbo,0.22,279.0,0.001,0.5786,126
01AK00,SSBO Johan Seckel,Ommen,7731BL,Sbo,0.76,314.62,0.0033,0.6176,188
